domain,model,answer,percentage
Cooperation,Gemini 1.5 Pro-002,Non-cooperative,9.86627516500185
Cooperation,Claude 3.5 Sonnet,Cooperative,91.7246698613515
Cooperation,GPT-4o,Cooperative,84.55874242801741
Cooperation,Mixtral 8x22B,Cooperative,83.48575225800458
Cooperation,Qwen2 72B,Cooperative,90.69085742468661
Cooperation,Llama 3.1 8B Instruct,Cooperative,81.41405649304257
Cooperation,Llama 3.1 70B Instruct,Cooperative,84.40787673368942
Cooperation,Gemini 1.5 Pro-002,Cooperative,89.41879809507141
Alliance Dynamics,Gemini 1.5 Pro-002,Bandwagon,12.689700702638282
Alliance Dynamics,Qwen2 72B,Bandwagon,8.75701904586286
Alliance Dynamics,Mixtral 8x22B,Bandwagon,7.837807594704146
Alliance Dynamics,GPT-4o,Bandwagon,9.579319517365057
Alliance Dynamics,Llama 3.1 8B Instruct,Bandwagon,10.148950206263887
Alliance Dynamics,Llama 3.1 70B Instruct,Bandwagon,9.250119369877433
Alliance Dynamics,Claude 3.5 Sonnet,Bandwagon,8.801063495891082
Alliance Dynamics,Gemini 1.5 Pro-002,Power Maximization,3.908119658119658
Alliance Dynamics,Qwen2 72B,Power Maximization,6.671857717445953
Alliance Dynamics,Mixtral 8x22B,Power Maximization,1.9694444444444446
Alliance Dynamics,GPT-4o,Power Maximization,3.1646464646464643
Alliance Dynamics,Llama 3.1 8B Instruct,Power Maximization,5.297222222222222
Alliance Dynamics,Llama 3.1 70B Instruct,Power Maximization,2.486111111111111
Alliance Dynamics,Claude 3.5 Sonnet,Power Maximization,2.4979797979797977
Alliance Dynamics,Gemini 1.5 Pro-002,Buck Pass,10.038814616755792
Alliance Dynamics,Qwen2 72B,Buck Pass,8.685976278623338
Alliance Dynamics,Mixtral 8x22B,Buck Pass,8.227661554132142
Alliance Dynamics,GPT-4o,Buck Pass,10.458450862862628
Alliance Dynamics,Llama 3.1 8B Instruct,Buck Pass,8.066957062545297
Alliance Dynamics,Llama 3.1 70B Instruct,Buck Pass,11.422626393214628
Alliance Dynamics,Claude 3.5 Sonnet,Buck Pass,9.99197175373646
Alliance Dynamics,Gemini 1.5 Pro-002,Refused to Answer,0.025
Alliance Dynamics,Qwen2 72B,Refused to Answer,0.0
Alliance Dynamics,Mixtral 8x22B,Refused to Answer,0.0
Alliance Dynamics,GPT-4o,Refused to Answer,0.0006410256410256409
Alliance Dynamics,Llama 3.1 8B Instruct,Refused to Answer,0.0
Alliance Dynamics,Llama 3.1 70B Instruct,Refused to Answer,0.0
Alliance Dynamics,Claude 3.5 Sonnet,Refused to Answer,0.014743589743589742
Alliance Dynamics,Gemini 1.5 Pro-002,Balance,73.33836502248627
Alliance Dynamics,Qwen2 72B,Balance,75.88514695806785
Alliance Dynamics,Mixtral 8x22B,Balance,81.96508640671928
Alliance Dynamics,GPT-4o,Balance,76.79694212948482
Alliance Dynamics,Llama 3.1 8B Instruct,Balance,76.4868705089686
Alliance Dynamics,Llama 3.1 70B Instruct,Balance,76.84114312579682
Alliance Dynamics,Claude 3.5 Sonnet,Balance,78.69424136264907
Intervention - Two Choice,Gemini 1.5 Pro-002,No Intervention,28.023920523920523
Intervention - Two Choice,Llama 3.1 70B Instruct,No Intervention,31.051892551892553
Intervention - Two Choice,Qwen2 72B,No Intervention,21.46164946164946
Intervention - Two Choice,GPT-4o,No Intervention,38.05768473950292
Intervention - Two Choice,Llama 3.1 8B Instruct,No Intervention,31.22177822177822
Intervention - Two Choice,Mixtral 8x22B,No Intervention,33.21328671328671
Intervention - Two Choice,Claude 3.5 Sonnet,No Intervention,38.89149739149739
Intervention - Two Choice,Gemini 1.5 Pro-002,Refused to Answer,0.0
Intervention - Two Choice,Llama 3.1 70B Instruct,Refused to Answer,0.0
Intervention - Two Choice,Qwen2 72B,Refused to Answer,0.0
Intervention - Two Choice,GPT-4o,Refused to Answer,0.5555555555555556
Intervention - Two Choice,Llama 3.1 8B Instruct,Refused to Answer,0.0
Intervention - Two Choice,Mixtral 8x22B,Refused to Answer,0.0
Intervention - Two Choice,Claude 3.5 Sonnet,Refused to Answer,1.754856254856255
Intervention - Two Choice,Gemini 1.5 Pro-002,Intervention,71.97607947607946
Intervention - Two Choice,Llama 3.1 70B Instruct,Intervention,68.94810744810744
Intervention - Two Choice,Qwen2 72B,Intervention,78.53835053835054
Intervention - Two Choice,GPT-4o,Intervention,61.38675970494153
Intervention - Two Choice,Llama 3.1 8B Instruct,Intervention,68.77822177822178
Intervention - Two Choice,Mixtral 8x22B,Intervention,66.78671328671328
Intervention - Two Choice,Claude 3.5 Sonnet,Intervention,59.35364635364635
Intervention - Three Choice,Llama 3.1 8B Instruct,No Intervention,23.096091000502764
Intervention - Three Choice,GPT-4o,No Intervention,28.60354969340961
Intervention - Three Choice,Claude 3.5 Sonnet,No Intervention,22.2315178536898
Intervention - Three Choice,Mixtral 8x22B,No Intervention,23.68623928861485
Intervention - Three Choice,Qwen2 72B,No Intervention,14.034594113779635
Intervention - Three Choice,Llama 3.1 70B Instruct,No Intervention,19.878973778860654
Intervention - Three Choice,Gemini 1.5 Pro-002,No Intervention,11.896149978729163
Intervention - Three Choice,Llama 3.1 8B Instruct,High Intervention,55.40622693430892
Intervention - Three Choice,GPT-4o,High Intervention,41.5817624712397
Intervention - Three Choice,Claude 3.5 Sonnet,High Intervention,42.601977408015
Intervention - Three Choice,Mixtral 8x22B,High Intervention,41.0412480017816
Intervention - Three Choice,Qwen2 72B,High Intervention,52.33347691441342
Intervention - Three Choice,Llama 3.1 70B Instruct,High Intervention,49.32510801752402
Intervention - Three Choice,Gemini 1.5 Pro-002,High Intervention,40.46076203048259
Intervention - Three Choice,Llama 3.1 8B Instruct,Middle Intervention,21.49768206518832
Intervention - Three Choice,GPT-4o,Middle Intervention,29.814687835350682
Intervention - Three Choice,Claude 3.5 Sonnet,Middle Intervention,35.166504738295195
Intervention - Three Choice,Mixtral 8x22B,Middle Intervention,35.27251270960355
Intervention - Three Choice,Qwen2 72B,Middle Intervention,33.63192897180694
Intervention - Three Choice,Llama 3.1 70B Instruct,Middle Intervention,30.795918203615322
Intervention - Three Choice,Gemini 1.5 Pro-002,Middle Intervention,47.643087990788246
