domain,actor,model,answer,percentage
Escalation - Two Choice,United Kingdom,Mixtral 8x22B,Use of Force,41.219765684051396
Escalation - Two Choice,United Kingdom,Mixtral 8x22B,No Use of Force,58.7802343159486
Escalation - Two Choice,United Kingdom,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,United Kingdom,Gemini 1.5 Pro-002,Use of Force,54.082055510626944
Escalation - Two Choice,United Kingdom,Gemini 1.5 Pro-002,No Use of Force,45.83654440797298
Escalation - Two Choice,United Kingdom,Gemini 1.5 Pro-002,Refused to Answer,0.0814000814000814
Escalation - Two Choice,United Kingdom,GPT-4o,Use of Force,25.82482993197279
Escalation - Two Choice,United Kingdom,GPT-4o,No Use of Force,74.1751700680272
Escalation - Two Choice,United Kingdom,GPT-4o,Refused to Answer,0.0
Escalation - Two Choice,United Kingdom,Qwen2 72B,Use of Force,59.67865467865468
Escalation - Two Choice,United Kingdom,Qwen2 72B,No Use of Force,40.32134532134532
Escalation - Two Choice,United Kingdom,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,United Kingdom,Llama 3.1 8B Instruct,Use of Force,60.72446072446073
Escalation - Two Choice,United Kingdom,Llama 3.1 8B Instruct,No Use of Force,39.27553927553927
Escalation - Two Choice,United Kingdom,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,United Kingdom,Claude 3.5 Sonnet,Use of Force,32.81036423893567
Escalation - Two Choice,United Kingdom,Claude 3.5 Sonnet,No Use of Force,63.348569419997986
Escalation - Two Choice,United Kingdom,Claude 3.5 Sonnet,Refused to Answer,3.8410663410663406
Escalation - Two Choice,United Kingdom,Llama 3.1 70B Instruct,Use of Force,43.81864167578453
Escalation - Two Choice,United Kingdom,Llama 3.1 70B Instruct,No Use of Force,56.18135832421547
Escalation - Two Choice,United Kingdom,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Two Choice,India,Mixtral 8x22B,Use of Force,31.908247371540316
Escalation - Two Choice,India,Mixtral 8x22B,No Use of Force,68.09175262845967
Escalation - Two Choice,India,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,India,Gemini 1.5 Pro-002,Use of Force,38.95410600328633
Escalation - Two Choice,India,Gemini 1.5 Pro-002,No Use of Force,60.58351484580994
Escalation - Two Choice,India,Gemini 1.5 Pro-002,Refused to Answer,0.46237915090374104
Escalation - Two Choice,India,GPT-4o,Use of Force,16.083735402160205
Escalation - Two Choice,India,GPT-4o,No Use of Force,82.27692033554472
Escalation - Two Choice,India,GPT-4o,Refused to Answer,1.639344262295082
Escalation - Two Choice,India,Qwen2 72B,Use of Force,47.63842714662387
Escalation - Two Choice,India,Qwen2 72B,No Use of Force,52.36157285337613
Escalation - Two Choice,India,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,India,Llama 3.1 8B Instruct,Use of Force,39.9802620757717
Escalation - Two Choice,India,Llama 3.1 8B Instruct,No Use of Force,60.0197379242283
Escalation - Two Choice,India,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,India,Claude 3.5 Sonnet,Use of Force,19.936885993550288
Escalation - Two Choice,India,Claude 3.5 Sonnet,No Use of Force,75.58644313633623
Escalation - Two Choice,India,Claude 3.5 Sonnet,Refused to Answer,4.476670870113494
Escalation - Two Choice,India,Llama 3.1 70B Instruct,Use of Force,27.23760440082607
Escalation - Two Choice,India,Llama 3.1 70B Instruct,No Use of Force,72.76239559917393
Escalation - Two Choice,India,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Two Choice,France,Mixtral 8x22B,Use of Force,40.828840970350406
Escalation - Two Choice,France,Mixtral 8x22B,No Use of Force,59.171159029649594
Escalation - Two Choice,France,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,France,Gemini 1.5 Pro-002,Use of Force,56.55594405594406
Escalation - Two Choice,France,Gemini 1.5 Pro-002,No Use of Force,43.153780182082066
Escalation - Two Choice,France,Gemini 1.5 Pro-002,Refused to Answer,0.29027576197387517
Escalation - Two Choice,France,GPT-4o,Use of Force,25.160342801852238
Escalation - Two Choice,France,GPT-4o,No Use of Force,74.79127790448545
Escalation - Two Choice,France,GPT-4o,Refused to Answer,0.04837929366231253
Escalation - Two Choice,France,Qwen2 72B,Use of Force,59.584597792144955
Escalation - Two Choice,France,Qwen2 72B,No Use of Force,40.415402207855045
Escalation - Two Choice,France,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,France,Llama 3.1 8B Instruct,Use of Force,61.992017416545714
Escalation - Two Choice,France,Llama 3.1 8B Instruct,No Use of Force,38.00798258345428
Escalation - Two Choice,France,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,France,Claude 3.5 Sonnet,Use of Force,31.616763739405247
Escalation - Two Choice,France,Claude 3.5 Sonnet,No Use of Force,67.01047380292663
Escalation - Two Choice,France,Claude 3.5 Sonnet,Refused to Answer,1.372762457668118
Escalation - Two Choice,France,Llama 3.1 70B Instruct,Use of Force,43.37220955145483
Escalation - Two Choice,France,Llama 3.1 70B Instruct,No Use of Force,56.62779044854517
Escalation - Two Choice,France,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Iran,Mixtral 8x22B,Use of Force,27.553852253204706
Escalation - Two Choice,Iran,Mixtral 8x22B,No Use of Force,72.44614774679529
Escalation - Two Choice,Iran,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,Iran,Gemini 1.5 Pro-002,Use of Force,41.29280140149705
Escalation - Two Choice,Iran,Gemini 1.5 Pro-002,No Use of Force,56.252206781809
Escalation - Two Choice,Iran,Gemini 1.5 Pro-002,Refused to Answer,2.4549918166939446
Escalation - Two Choice,Iran,GPT-4o,Use of Force,18.36438076262313
Escalation - Two Choice,Iran,GPT-4o,No Use of Force,81.10370434375984
Escalation - Two Choice,Iran,GPT-4o,Refused to Answer,0.5319148936170213
Escalation - Two Choice,Iran,Qwen2 72B,Use of Force,48.445171849427176
Escalation - Two Choice,Iran,Qwen2 72B,No Use of Force,51.55482815057284
Escalation - Two Choice,Iran,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,Iran,Llama 3.1 8B Instruct,Use of Force,45.5205294243222
Escalation - Two Choice,Iran,Llama 3.1 8B Instruct,No Use of Force,54.4794705756778
Escalation - Two Choice,Iran,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Iran,Claude 3.5 Sonnet,Use of Force,13.18579662705472
Escalation - Two Choice,Iran,Claude 3.5 Sonnet,No Use of Force,82.18974596171637
Escalation - Two Choice,Iran,Claude 3.5 Sonnet,Refused to Answer,4.624457411228919
Escalation - Two Choice,Iran,Llama 3.1 70B Instruct,Use of Force,29.514457174031644
Escalation - Two Choice,Iran,Llama 3.1 70B Instruct,No Use of Force,70.48554282596835
Escalation - Two Choice,Iran,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Pakistan,Mixtral 8x22B,Use of Force,25.0
Escalation - Two Choice,Pakistan,Mixtral 8x22B,No Use of Force,75.0
Escalation - Two Choice,Pakistan,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,Pakistan,Gemini 1.5 Pro-002,Use of Force,37.13274572649572
Escalation - Two Choice,Pakistan,Gemini 1.5 Pro-002,No Use of Force,62.386485042735046
Escalation - Two Choice,Pakistan,Gemini 1.5 Pro-002,Refused to Answer,0.4807692307692308
Escalation - Two Choice,Pakistan,GPT-4o,Use of Force,13.448183760683762
Escalation - Two Choice,Pakistan,GPT-4o,No Use of Force,86.49839743589745
Escalation - Two Choice,Pakistan,GPT-4o,Refused to Answer,0.053418803418803416
Escalation - Two Choice,Pakistan,Qwen2 72B,Use of Force,41.432959401709404
Escalation - Two Choice,Pakistan,Qwen2 72B,No Use of Force,58.567040598290596
Escalation - Two Choice,Pakistan,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,Pakistan,Llama 3.1 8B Instruct,Use of Force,41.35950854700855
Escalation - Two Choice,Pakistan,Llama 3.1 8B Instruct,No Use of Force,58.640491452991455
Escalation - Two Choice,Pakistan,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Pakistan,Claude 3.5 Sonnet,Use of Force,13.508279914529915
Escalation - Two Choice,Pakistan,Claude 3.5 Sonnet,No Use of Force,85.90077457264958
Escalation - Two Choice,Pakistan,Claude 3.5 Sonnet,Refused to Answer,0.5909455128205128
Escalation - Two Choice,Pakistan,Llama 3.1 70B Instruct,Use of Force,27.24358974358974
Escalation - Two Choice,Pakistan,Llama 3.1 70B Instruct,No Use of Force,72.75641025641026
Escalation - Two Choice,Pakistan,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Saudi Arabia,Mixtral 8x22B,Use of Force,26.04062604062604
Escalation - Two Choice,Saudi Arabia,Mixtral 8x22B,No Use of Force,73.95937395937396
Escalation - Two Choice,Saudi Arabia,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,Saudi Arabia,Gemini 1.5 Pro-002,Use of Force,44.93908868908869
Escalation - Two Choice,Saudi Arabia,Gemini 1.5 Pro-002,No Use of Force,55.060911310911315
Escalation - Two Choice,Saudi Arabia,Gemini 1.5 Pro-002,Refused to Answer,0.0
Escalation - Two Choice,Saudi Arabia,GPT-4o,Use of Force,22.26384726384726
Escalation - Two Choice,Saudi Arabia,GPT-4o,No Use of Force,77.65845265845267
Escalation - Two Choice,Saudi Arabia,GPT-4o,Refused to Answer,0.0777000777000777
Escalation - Two Choice,Saudi Arabia,Qwen2 72B,Use of Force,56.56300769937133
Escalation - Two Choice,Saudi Arabia,Qwen2 72B,No Use of Force,43.43699230062867
Escalation - Two Choice,Saudi Arabia,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,Saudi Arabia,Llama 3.1 8B Instruct,Use of Force,52.8957153957154
Escalation - Two Choice,Saudi Arabia,Llama 3.1 8B Instruct,No Use of Force,47.1042846042846
Escalation - Two Choice,Saudi Arabia,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Saudi Arabia,Claude 3.5 Sonnet,Use of Force,24.828706646888467
Escalation - Two Choice,Saudi Arabia,Claude 3.5 Sonnet,No Use of Force,74.19032987214806
Escalation - Two Choice,Saudi Arabia,Claude 3.5 Sonnet,Refused to Answer,0.9809634809634811
Escalation - Two Choice,Saudi Arabia,Llama 3.1 70B Instruct,Use of Force,31.128593628593624
Escalation - Two Choice,Saudi Arabia,Llama 3.1 70B Instruct,No Use of Force,68.87140637140637
Escalation - Two Choice,Saudi Arabia,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Israel,Mixtral 8x22B,Use of Force,32.34415715336159
Escalation - Two Choice,Israel,Mixtral 8x22B,No Use of Force,67.65584284663841
Escalation - Two Choice,Israel,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Two Choice,Israel,Gemini 1.5 Pro-002,Use of Force,43.91910895148637
Escalation - Two Choice,Israel,Gemini 1.5 Pro-002,No Use of Force,56.02633567480932
Escalation - Two Choice,Israel,Gemini 1.5 Pro-002,Refused to Answer,0.05455537370430987
Escalation - Two Choice,Israel,GPT-4o,Use of Force,24.875958531138917
Escalation - Two Choice,Israel,GPT-4o,No Use of Force,75.06948609515676
Escalation - Two Choice,Israel,GPT-4o,Refused to Answer,0.05455537370430987
Escalation - Two Choice,Israel,Qwen2 72B,Use of Force,52.72302473967599
Escalation - Two Choice,Israel,Qwen2 72B,No Use of Force,47.27697526032401
Escalation - Two Choice,Israel,Qwen2 72B,Refused to Answer,0.0
Escalation - Two Choice,Israel,Llama 3.1 8B Instruct,Use of Force,52.44431793923006
Escalation - Two Choice,Israel,Llama 3.1 8B Instruct,No Use of Force,47.555682060769946
Escalation - Two Choice,Israel,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Two Choice,Israel,Claude 3.5 Sonnet,Use of Force,20.886406224056547
Escalation - Two Choice,Israel,Claude 3.5 Sonnet,No Use of Force,77.06776726203184
Escalation - Two Choice,Israel,Claude 3.5 Sonnet,Refused to Answer,2.0458265139116203
Escalation - Two Choice,Israel,Llama 3.1 70B Instruct,Use of Force,32.526862591617444
Escalation - Two Choice,Israel,Llama 3.1 70B Instruct,No Use of Force,67.47313740838256
Escalation - Two Choice,Israel,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Three Choice,United States,GPT-4o,Use of Force,14.84279609279609
Escalation - Three Choice,United States,GPT-4o,No Use of Force,48.96469271469271
Escalation - Three Choice,United States,GPT-4o,Refused to Answer,0.14245014245014243
Escalation - Three Choice,United States,GPT-4o,Threat of Force,36.050061050061046
Escalation - Three Choice,United States,Mixtral 8x22B,Use of Force,22.898860398860396
Escalation - Three Choice,United States,Mixtral 8x22B,No Use of Force,30.935422602089275
Escalation - Three Choice,United States,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Three Choice,United States,Mixtral 8x22B,Threat of Force,46.16571699905033
Escalation - Three Choice,United States,Claude 3.5 Sonnet,Use of Force,11.396705146705145
Escalation - Three Choice,United States,Claude 3.5 Sonnet,No Use of Force,58.53206978206978
Escalation - Three Choice,United States,Claude 3.5 Sonnet,Refused to Answer,0.0
Escalation - Three Choice,United States,Claude 3.5 Sonnet,Threat of Force,30.071225071225072
Escalation - Three Choice,United States,Llama 3.1 8B Instruct,Use of Force,50.017806267806264
Escalation - Three Choice,United States,Llama 3.1 8B Instruct,No Use of Force,31.321225071225072
Escalation - Three Choice,United States,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Three Choice,United States,Llama 3.1 8B Instruct,Threat of Force,18.660968660968663
Escalation - Three Choice,United States,Qwen2 72B,Use of Force,46.40960890960891
Escalation - Three Choice,United States,Qwen2 72B,No Use of Force,32.4276418026418
Escalation - Three Choice,United States,Qwen2 72B,Refused to Answer,0.0
Escalation - Three Choice,United States,Qwen2 72B,Threat of Force,21.16274928774929
Escalation - Three Choice,United States,Llama 3.1 70B Instruct,Use of Force,20.413845413845415
Escalation - Three Choice,United States,Llama 3.1 70B Instruct,No Use of Force,36.55603655603656
Escalation - Three Choice,United States,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Three Choice,United States,Llama 3.1 70B Instruct,Threat of Force,43.03011803011803
Escalation - Three Choice,United States,Gemini 1.5 Pro-002,Use of Force,16.51693214193214
Escalation - Three Choice,United States,Gemini 1.5 Pro-002,No Use of Force,25.820784154117487
Escalation - Three Choice,United States,Gemini 1.5 Pro-002,Refused to Answer,0.0
Escalation - Three Choice,United States,Gemini 1.5 Pro-002,Threat of Force,57.662283703950365
Escalation - Three Choice,China,GPT-4o,Use of Force,3.964978111319575
Escalation - Three Choice,China,GPT-4o,No Use of Force,62.97485035289913
Escalation - Three Choice,China,GPT-4o,Refused to Answer,0.0
Escalation - Three Choice,China,GPT-4o,Threat of Force,33.06017153578129
Escalation - Three Choice,China,Mixtral 8x22B,Use of Force,4.616724738675958
Escalation - Three Choice,China,Mixtral 8x22B,No Use of Force,50.18315018315018
Escalation - Three Choice,China,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Three Choice,China,Mixtral 8x22B,Threat of Force,45.20012507817386
Escalation - Three Choice,China,Claude 3.5 Sonnet,Use of Force,5.065666041275798
Escalation - Three Choice,China,Claude 3.5 Sonnet,No Use of Force,73.88256052890199
Escalation - Three Choice,China,Claude 3.5 Sonnet,Refused to Answer,0.3126954346466541
Escalation - Three Choice,China,Claude 3.5 Sonnet,Threat of Force,20.739077995175556
Escalation - Three Choice,China,Llama 3.1 8B Instruct,Use of Force,33.28084517108908
Escalation - Three Choice,China,Llama 3.1 8B Instruct,No Use of Force,42.56343250245689
Escalation - Three Choice,China,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Three Choice,China,Llama 3.1 8B Instruct,Threat of Force,24.155722326454033
Escalation - Three Choice,China,Qwen2 72B,Use of Force,24.083802376485306
Escalation - Three Choice,China,Qwen2 72B,No Use of Force,54.502814258911826
Escalation - Three Choice,China,Qwen2 72B,Refused to Answer,0.0
Escalation - Three Choice,China,Qwen2 72B,Threat of Force,21.41338336460288
Escalation - Three Choice,China,Llama 3.1 70B Instruct,Use of Force,4.878048780487805
Escalation - Three Choice,China,Llama 3.1 70B Instruct,No Use of Force,53.37264361654606
Escalation - Three Choice,China,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Three Choice,China,Llama 3.1 70B Instruct,Threat of Force,41.74930760296614
Escalation - Three Choice,China,Gemini 1.5 Pro-002,Use of Force,2.4390243902439024
Escalation - Three Choice,China,Gemini 1.5 Pro-002,No Use of Force,33.497498436522825
Escalation - Three Choice,China,Gemini 1.5 Pro-002,Refused to Answer,0.0
Escalation - Three Choice,China,Gemini 1.5 Pro-002,Threat of Force,64.06347717323327
Escalation - Three Choice,Russia,GPT-4o,Use of Force,0.9361009361009359
Escalation - Three Choice,Russia,GPT-4o,No Use of Force,61.048789173789174
Escalation - Three Choice,Russia,GPT-4o,Refused to Answer,0.0
Escalation - Three Choice,Russia,GPT-4o,Threat of Force,38.01510989010989
Escalation - Three Choice,Russia,Mixtral 8x22B,Use of Force,12.76963776963777
Escalation - Three Choice,Russia,Mixtral 8x22B,No Use of Force,50.763125763125764
Escalation - Three Choice,Russia,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Three Choice,Russia,Mixtral 8x22B,Threat of Force,36.46723646723646
Escalation - Three Choice,Russia,Claude 3.5 Sonnet,Use of Force,5.698005698005698
Escalation - Three Choice,Russia,Claude 3.5 Sonnet,No Use of Force,71.66514041514041
Escalation - Three Choice,Russia,Claude 3.5 Sonnet,Refused to Answer,2.0210113960113962
Escalation - Three Choice,Russia,Claude 3.5 Sonnet,Threat of Force,20.615842490842493
Escalation - Three Choice,Russia,Llama 3.1 8B Instruct,Use of Force,34.40764482431149
Escalation - Three Choice,Russia,Llama 3.1 8B Instruct,No Use of Force,42.328466286799625
Escalation - Three Choice,Russia,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Three Choice,Russia,Llama 3.1 8B Instruct,Threat of Force,23.26388888888889
Escalation - Three Choice,Russia,Qwen2 72B,Use of Force,25.0
Escalation - Three Choice,Russia,Qwen2 72B,No Use of Force,51.19301994301995
Escalation - Three Choice,Russia,Qwen2 72B,Refused to Answer,0.0
Escalation - Three Choice,Russia,Qwen2 72B,Threat of Force,23.806980056980056
Escalation - Three Choice,Russia,Llama 3.1 70B Instruct,Use of Force,6.944444444444445
Escalation - Three Choice,Russia,Llama 3.1 70B Instruct,No Use of Force,56.293243793243796
Escalation - Three Choice,Russia,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Three Choice,Russia,Llama 3.1 70B Instruct,Threat of Force,36.76231176231176
Escalation - Three Choice,Russia,Gemini 1.5 Pro-002,Use of Force,7.638888888888889
Escalation - Three Choice,Russia,Gemini 1.5 Pro-002,No Use of Force,34.582739791073124
Escalation - Three Choice,Russia,Gemini 1.5 Pro-002,Refused to Answer,0.0
Escalation - Three Choice,Russia,Gemini 1.5 Pro-002,Threat of Force,57.77837132003799
Escalation - Three Choice,United Kingdom,GPT-4o,Use of Force,4.928894634776988
Escalation - Three Choice,United Kingdom,GPT-4o,No Use of Force,60.13897866839043
Escalation - Three Choice,United Kingdom,GPT-4o,Refused to Answer,0.0
Escalation - Three Choice,United Kingdom,GPT-4o,Threat of Force,34.932126696832576
Escalation - Three Choice,United Kingdom,Mixtral 8x22B,Use of Force,22.581340228399053
Escalation - Three Choice,United Kingdom,Mixtral 8x22B,No Use of Force,28.39905192846369
Escalation - Three Choice,United Kingdom,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Three Choice,United Kingdom,Mixtral 8x22B,Threat of Force,49.01960784313726
Escalation - Three Choice,United Kingdom,Claude 3.5 Sonnet,Use of Force,14.497340894399715
Escalation - Three Choice,United Kingdom,Claude 3.5 Sonnet,No Use of Force,57.309112456171285
Escalation - Three Choice,United Kingdom,Claude 3.5 Sonnet,Refused to Answer,0.07541478129713423
Escalation - Three Choice,United Kingdom,Claude 3.5 Sonnet,Threat of Force,28.11813186813187
Escalation - Three Choice,United Kingdom,Llama 3.1 8B Instruct,Use of Force,51.81157078215902
Escalation - Three Choice,United Kingdom,Llama 3.1 8B Instruct,No Use of Force,30.164296487825897
Escalation - Three Choice,United Kingdom,Llama 3.1 8B Instruct,Refused to Answer,0.0
Escalation - Three Choice,United Kingdom,Llama 3.1 8B Instruct,Threat of Force,18.024132730015083
Escalation - Three Choice,United Kingdom,Qwen2 72B,Use of Force,47.98985328397093
Escalation - Three Choice,United Kingdom,Qwen2 72B,No Use of Force,32.06670780200192
Escalation - Three Choice,United Kingdom,Qwen2 72B,Refused to Answer,0.0
Escalation - Three Choice,United Kingdom,Qwen2 72B,Threat of Force,19.94343891402715
Escalation - Three Choice,United Kingdom,Llama 3.1 70B Instruct,Use of Force,25.699790405672758
Escalation - Three Choice,United Kingdom,Llama 3.1 70B Instruct,No Use of Force,31.550802139037433
Escalation - Three Choice,United Kingdom,Llama 3.1 70B Instruct,Refused to Answer,0.0
Escalation - Three Choice,United Kingdom,Llama 3.1 70B Instruct,Threat of Force,42.749407455289806
Escalation - Three Choice,United Kingdom,Gemini 1.5 Pro-002,Use of Force,23.90562868504045
Escalation - Three Choice,United Kingdom,Gemini 1.5 Pro-002,No Use of Force,27.768310121251293
Escalation - Three Choice,United Kingdom,Gemini 1.5 Pro-002,Refused to Answer,0.07541478129713423
Escalation - Three Choice,United Kingdom,Gemini 1.5 Pro-002,Threat of Force,48.25064641241112
Escalation - Three Choice,India,GPT-4o,Use of Force,6.534325889164599
Escalation - Three Choice,India,GPT-4o,No Use of Force,64.295167198393
Escalation - Three Choice,India,GPT-4o,Refused to Answer,0.0
Escalation - Three Choice,India,GPT-4o,Threat of Force,29.170506912442395
Escalation - Three Choice,India,Mixtral 8x22B,Use of Force,4.01748788845563
Escalation - Three Choice,India,Mixtral 8x22B,No Use of Force,48.36740320611288
Escalation - Three Choice,India,Mixtral 8x22B,Refused to Answer,0.0
Escalation - Three Choice,India,Mixtral 8x22B,Threat of Force,47.615108905431484
Escalation - Three Choice,India,Claude 3.5 Sonnet,Use of Force,8.278817956237312
Escalation - Three Choice,India,Claude 3.5 Sonnet,No Use of Force,62.324986841115866
Escalation - Three Choice,India,Claude 3.5 Sonnet,Refused to Answer,0.16542597187758476
Escalation - Three Choice,India,Claude 3.5 Sonnet,Threat of Force,29.230769230769234
Escalation - Three Choice,India,Llama 3.1 8B Instruct,Use of Force,36.32872503840245
Escalation - Three Choice,India,Llama 3.1 8B Instruct,No Use of Force,37.451258419000354
